x_pos,y_pos,channel_1,channel_2,channel_3,channel_4
2068.0,896.0,38,87,31,281
2066.0,899.0,37,86,31,280
2066.0,899.0,38,86,31,280
2066.0,902.0,38,86,31,280
2066.0,902.0,37,85,31,280
2066.0,902.0,37,85,31,280
2064.0,905.0,37,85,31,280
2064.0,905.0,37,84,31,280
2062.0,908.0,37,84,31,280
2062.0,908.0,37,84,31,280
2062.0,908.0,39,84,31,280
2061.0,910.0,45,84,31,280
2060.0,912.0,47,84,31,279
2060.0,912.0,47,84,31,279
2059.0,915.0,47,84,31,279
2059.0,915.0,47,83,31,279
2059.0,915.0,46,83,31,278
2058.0,918.0,46,83,31,278
2058.0,918.0,46,83,31,278
2056.0,921.0,46,83,31,278
2056.0,921.0,46,83,31,278
2055.0,925.0,46,83,31,278
2055.0,925.0,46,83,32,277
2055.0,925.0,46,83,32,277
2054.0,927.0,46,83,32,277
2054.0,927.0,46,83,32,276
2054.0,927.0,46,83,32,276
2054.0,927.0,46,83,32,276
2053.0,929.0,46,83,32,276
2053.0,929.0,46,82,32,276
2049.0,936.0,45,82,32,275
2049.0,936.0,46,82,32,275
2049.0,939.0,45,82,32,275
2049.0,939.0,45,82,32,275
2049.0,939.0,45,82,32,275
2048.0,941.0,45,82,32,275
2048.0,941.0,45,82,32,275
2046.0,944.0,45,82,32,275
2046.0,944.0,45,81,32,275
2046.0,944.0,45,81,32,275
2046.0,946.0,46,81,32,275
2046.0,946.0,45,81,32,275
2045.0,948.0,45,81,32,274
2045.0,948.0,45,81,31,274
2044.0,951.0,45,81,31,273
2044.0,951.0,45,81,31,273
2043.0,953.0,45,99,31,273
2043.0,953.0,45,99,31,273
2042.0,957.0,45,99,31,273
2042.0,957.0,45,99,31,273
2041.0,959.0,45,98,31,273
2040.0,962.0,45,98,31,272
2040.0,962.0,45,97,31,272
2039.0,964.0,45,97,31,272
2039.0,964.0,44,97,31,271
2039.0,964.0,44,97,31,271
2039.0,967.0,44,97,31,272
2039.0,967.0,44,97,31,291
2038.0,970.0,44,97,31,293
2038.0,970.0,44,97,31,292
2037.0,972.0,44,97,31,292
2037.0,972.0,44,96,31,292
2036.0,975.0,44,96,31,291
2036.0,975.0,44,96,31,291
2036.0,975.0,44,96,31,291
2036.0,976.0,44,96,31,291
2036.0,976.0,44,96,31,291
2036.0,979.0,44,96,31,291
2036.0,979.0,44,96,31,291
2036.0,979.0,44,96,31,290
2036.0,979.0,44,96,31,290
