x_pos,y_pos,channel_1,channel_2,channel_3,channel_4
2577.0,1088.0,123,271,47,19
2577.0,1088.0,123,271,46,20
2576.0,1088.0,122,292,47,20
2574.0,1089.0,121,291,46,20
2572.0,1089.0,122,291,47,19
2572.0,1089.0,121,291,47,20
2570.0,1089.0,121,290,46,19
2568.0,1089.0,121,290,46,19
2566.0,1090.0,121,289,46,19
2566.0,1090.0,121,289,46,20
2563.0,1090.0,121,289,46,19
2561.0,1091.0,121,289,46,20
2561.0,1091.0,121,289,46,19
2559.0,1092.0,120,288,46,19
2557.0,1092.0,120,288,46,19
2552.0,1092.0,120,287,46,19
2552.0,1092.0,120,287,46,19
2550.0,1092.0,120,287,46,19
2547.0,1093.0,120,287,46,19
2544.0,1093.0,120,287,45,19
2542.0,1094.0,120,287,46,19
2538.0,1095.0,120,287,45,19
2538.0,1095.0,120,287,46,19
2535.0,1095.0,119,286,46,19
2533.0,1096.0,119,286,47,19
2531.0,1096.0,119,286,47,19
2526.0,1096.0,119,286,47,19
2526.0,1096.0,119,286,47,19
2523.0,1096.0,118,286,47,19
2518.0,1097.0,119,286,47,19
2515.0,1097.0,118,285,46,19
2513.0,1098.0,118,284,47,19
2513.0,1098.0,118,284,46,19
2509.0,1098.0,118,284,46,19
2509.0,1098.0,117,284,46,19
2506.0,1099.0,118,284,46,19
2502.0,1099.0,117,284,46,19
2498.0,1100.0,117,284,46,19
2498.0,1100.0,117,284,47,19
2494.0,1100.0,117,283,46,19
2494.0,1100.0,116,283,46,19
2491.0,1100.0,116,283,46,19
2486.0,1100.0,116,283,46,19
2486.0,1100.0,116,283,46,19
2483.0,1101.0,115,282,46,19
2479.0,1101.0,115,281,46,19
2479.0,1101.0,115,281,46,19
2476.0,1101.0,115,281,46,19
2470.0,1102.0,115,297,46,19
2470.0,1102.0,115,296,45,19
2466.0,1102.0,115,295,46,19
2463.0,1103.0,115,295,45,19
2459.0,1103.0,115,295,46,19
2459.0,1103.0,115,295,46,19
2456.0,1103.0,115,295,45,19
2456.0,1103.0,115,295,45,19
2450.0,1104.0,114,295,45,19
2445.0,1104.0,115,295,45,19
2445.0,1104.0,114,295,45,19
2442.0,1104.0,114,294,45,19
2437.0,1104.0,113,294,45,19
2437.0,1104.0,113,294,44,20
2432.0,1104.0,113,294,45,20
2429.0,1105.0,113,293,44,20
2424.0,1105.0,113,292,45,20
2424.0,1105.0,113,293,45,20
2418.0,1106.0,113,293,44,20
2413.0,1106.0,112,292,45,20
2410.0,1106.0,113,292,45,20
2410.0,1106.0,112,291,44,20
2405.0,1106.0,112,292,46,20
2401.0,1106.0,113,291,46,20
2395.0,1107.0,115,291,45,20
2395.0,1107.0,114,291,45,20
2392.0,1107.0,116,291,46,20
2386.0,1107.0,115,291,45,20
2381.0,1107.0,116,291,45,20
2381.0,1107.0,115,290,45,20
2376.0,1107.0,116,290,46,20
2372.0,1107.0,115,290,45,20
2372.0,1107.0,115,289,45,20
2367.0,1107.0,115,289,45,20
2361.0,1108.0,115,289,44,20
2361.0,1108.0,115,289,45,19
2358.0,1108.0,115,289,45,20
2352.0,1108.0,115,289,45,20
2352.0,1108.0,115,287,45,20
2348.0,1108.0,115,288,44,20
2345.0,1108.0,115,287,44,19
2345.0,1108.0,114,287,44,19
2339.0,1108.0,114,287,44,19
2333.0,1108.0,113,287,45,20
2330.0,1108.0,113,287,44,19
2330.0,1108.0,113,287,44,19
2324.0,1108.0,113,304,44,19
2319.0,1108.0,113,304,44,19
2313.0,1108.0,113,303,44,19
2310.0,1108.0,113,303,44,19
2305.0,1108.0,112,302,44,19
2305.0,1108.0,112,302,44,19
2300.0,1108.0,112,302,44,19
2295.0,1108.0,112,302,44,19
2295.0,1108.0,112,302,44,19
2289.0,1108.0,112,302,44,19
2286.0,1108.0,112,300,44,19
2286.0,1108.0,112,300,44,19
2280.0,1108.0,112,300,44,19
2275.0,1108.0,112,300,44,19
2269.0,1108.0,111,300,44,19
2269.0,1108.0,111,300,44,19
